"quadrat","quadrat_depth_m","mud_silt","sand","pebble","cobble","boulder","rockface","turf","eelgrass","site","region","region_nation","date","depth_band","visibility_m","bearing","reg_id"
"1",4.8,0,30,20,30,20,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"2",4.4,0,40,20,0,40,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"3",4.4,0,60,30,0,10,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"4",4.4,0,80,0,10,10,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"5",4.1,0,60,0,30,10,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,0,90,0,5,5,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"7",4.4,0,80,0,0,20,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,0,80,5,5,10,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"9",4.1,0,40,0,10,50,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"10",4.1,0,70,0,0,20,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",2.3,0,50,20,20,0,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"2",2.1,0,50,10,0,40,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"3",1.9,0,80,0,20,0,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"4",1.9,0,30,0,0,70,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"5",1.9,0,70,0,20,10,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"6",2,0,60,0,0,30,0,10,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"7",1.9,0,50,0,0,40,0,10,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"8",1.7,0,75,0,0,20,0,5,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"9",1.7,0,20,0,0,80,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"10",1.6,0,90,0,10,0,0,0,0,"False Narrows","Nanaimo","Snuneymuxw",2024-07-21,"shallow",2,330,2
"1",8.6,0,0,0,70,20,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"2",8.2,0,20,0,80,0,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"3",7.5,0,10,0,20,0,70,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"4",7,0,10,10,30,50,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"5",6.4,0,10,0,10,60,20,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"6",7.6,0,10,10,30,50,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"7",7.6,0,0,0,30,40,30,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"8",7.2,0,20,0,40,30,0,10,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"9",6.8,0,30,0,30,10,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"10",7,0,0,0,0,0,100,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"deep",4,35,5
"1",4.1,0,10,0,0,90,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"2",3.7,0,10,0,0,80,10,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"3",3.6,0,20,0,0,50,30,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"4",3.7,0,10,0,0,90,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"5",3.4,0,0,0,0,20,80,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"6",3.6,0,10,0,30,60,0,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"7",3.5,0,0,0,0,10,90,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"8",3.7,0,0,0,0,20,80,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
"9",3.7,0,0,0,0,30,70,0,0,"Stryker","Bella Bella","Heiltsuk",2024-07-26,"shallow",3,35,5
