"quadrat","quadrat_depth_m","species","length_cm","site","region","region_nation","date","depth_band","visibility_m","bearing","reg_id"
"1",4.8,"Neoagarum fimbriatum",182,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Neoagarum fimbriatum",139,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",121,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",87,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",92,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",80,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",43,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",22,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",27,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",14,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",15,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",67,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"1",4.8,"Saccharina latissima",41,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"2",4.4,"Saccharina latissima",40,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"2",4.4,"Saccharina latissima",136,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"2",4.4,"Saccharina latissima",72,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"2",4.4,"Saccharina latissima",86,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"3",4.4,"Saccharina latissima",4,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"3",4.4,"Saccharina latissima",8,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"4",4.4,"Saccharina latissima",104,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"4",4.4,"Saccharina latissima",23,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"4",4.4,"Saccharina latissima",52,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"5",4.1,"Saccharina latissima",41,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,"Neoagarum fimbriatum",177,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,"Neoagarum fimbriatum",82,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,"Neoagarum fimbriatum",40,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,"Saccharina latissima",33,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,"Saccharina latissima",28,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"6",4.6,"Saccharina latissima",53,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"7",4.4,"Saccharina latissima",193,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"7",4.4,"Saccharina latissima",85,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Neoagarum fimbriatum",70,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Saccharina latissima",110,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Saccharina latissima",106,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Saccharina latissima",94,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Saccharina latissima",48,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Saccharina latissima",179,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"8",4.4,"Saccharina latissima",47,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"9",4.1,"Saccharina latissima",34,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"9",4.1,"Saccharina latissima",138,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
"9",4.1,"Saccharina latissima",82,"False Narrows","Nanaimo","Snuneymuxw",2024-07-20,"deep",2.5,240,2
