survey_id,observer,quadrat,depth_m,common_name,size_cm,cryptic_urchin
3,AEA,3,7.5,Purple sea urchin,2.5,1
3,AEA,3,7.5,Purple sea urchin,4.3,1
3,AEA,3,7.5,Purple sea urchin,4.5,1
3,AEA,3,7.5,Purple sea urchin,11,1
3,AEA,3,7.5,Purple sea urchin,13,1
3,AEA,5,6.4,Purple sea urchin,5,1
3,AEA,5,6.4,Purple sea urchin,7,1
3,CMA,1,7.6,Sunflower sea star,2.5,NA
3,CMA,1,7.6,Giant rock scallop,5,NA
4,CMA,1,3.6,Northern abalone,7.5,NA
5,AEA,1,8.7,Purple sea urchin,2.5,0
5,AEA,3,8.8,Purple sea urchin,3,1
5,AEA,3,8.8,Purple sea urchin,4,1
5,AEA,5,6.9,Purple sea urchin,1,1
5,CMA,1,8,Red sea urchin,5,0
5,CMA,1,8,Red sea urchin,5,0
5,CMA,1,8,Red sea urchin,5,0
5,CMA,2,7.3,Northern abalone,5,NA
5,CMA,2,7.3,Northern abalone,7.5,NA
5,CMA,2,7.3,Northern abalone,10,NA
6,AEA,1,3,Northern abalone,7,NA
6,CMA,1,3.8,Northern abalone,7.5,NA
6,CMA,1,3.8,Northern abalone,5,NA
6,CMA,1,3.8,Red sea urchin,7.5,1
6,CMA,1,3.8,Red sea urchin,2.5,1
6,CMA,2,3,Northern abalone,7.5,NA
6,CMA,2,3,Northern abalone,10,NA
6,CMA,3,3.4,Red sea urchin,5,1
6,CMA,3,3.4,Red sea urchin,10,1
6,CMA,3,3.4,Giant rock scallop,12.5,NA
6,CMA,3,3.4,Purple sea urchin,5,0
6,CMA,4,3.4,Northern abalone,7.5,NA
6,CMA,4,3.4,Red sea urchin,7.5,1
6,CMA,4,3.4,Purple sea urchin,5,1
6,CMA,4,3.4,Purple sea urchin,7.5,1
7,CMA,1,7.9,Green sea urchin,2.5,0
8,AEA,4,4.7,Green sea urchin,1.2,0
8,AEA,4,4.7,Green sea urchin,11,0
8,AEA,4,4.7,Purple sea urchin,2.5,1
8,AEA,4,4.7,Purple sea urchin,2.8,1
8,AEA,4,4.7,Purple sea urchin,3.4,1
8,AEA,4,4.7,Purple sea urchin,4.4,1
8,CMA,1,4.8,Sunflower sea star,5,NA
8,CMA,3,4.5,Northern abalone,7.5,NA
9,CMA,1,6.8,Red sea urchin,15,1
9,CMA,1,6.8,Red sea urchin,15,1
9,CMA,1,6.8,Red sea urchin,7.5,1
10,AEA,2,4.8,Northern abalone,11.5,NA
10,AEA,2,4.8,Northern abalone,12.3,NA
10,AEA,4,5,Northern abalone,11,NA
10,CMA,2,4.6,Northern abalone,12.5,NA
11,AEA,1,7.4,California sea cucumber,23,NA
11,AEA,2,7,California sea cucumber,18,NA
11,AEA,2,7,California sea cucumber,32,NA
11,AEA,2,7,California sea cucumber,30,NA
11,AEA,3,7.1,California sea cucumber,34,NA
11,AEA,4,7.1,California sea cucumber,25,NA
11,AEA,4,7.1,California sea cucumber,15,NA
11,AEA,5,7.1,California sea cucumber,32,NA
11,AEA,5,7.1,California sea cucumber,31,NA
11,CMA,4,6.4,Giant rock scallop,10,NA
12,CMA,1,3.7,Giant rock scallop,12,NA
12,CMA,1,3.7,Giant rock scallop,10,NA
12,CMA,1,3.7,Giant rock scallop,15,NA
12,CMA,1,3.7,Giant rock scallop,13,NA
12,CMA,1,3.7,Giant rock scallop,15,NA
12,CMA,2,3.6,Giant rock scallop,9,NA
12,CMA,2,3.6,Giant rock scallop,10,NA
12,CMA,2,3.6,Giant rock scallop,15,NA
12,CMA,2,3.6,Giant rock scallop,14,NA
12,CMA,2,3.6,Giant rock scallop,7,NA
12,CMA,2,3.6,Giant rock scallop,10,NA
12,CMA,2,3.6,Giant rock scallop,10,NA
12,CMA,3,3.5,Giant rock scallop,13,NA
12,CMA,3,3.5,Giant rock scallop,17,NA
12,CMA,5,3.6,Giant rock scallop,9.5,NA
12,CMA,5,3.6,Giant rock scallop,18,NA
12,CMA,5,3.6,Giant rock scallop,5,NA
13,AEA,2,6.1,Sunflower sea star,11,NA
13,AEA,4,5.9,Green sea urchin,12.5,0
13,AEA,4,5.9,Purple sea urchin,14,0
13,AEA,4,5.9,Purple sea urchin,13,0
13,AEA,4,5.9,Red sea urchin,8.5,0
13,AEA,4,5.9,Red sea urchin,12.5,0
13,CMA,1,5.7,Green sea urchin,10,0
14,AEA,3,3.1,Purple sea urchin,15,0
14,AEA,3,3.1,Purple sea urchin,13,0
14,AEA,3,3.1,Purple sea urchin,14,0
14,AEA,3,3.1,Purple sea urchin,10,0
14,AEA,3,3.1,Purple sea urchin,14,0
14,AEA,3,3.1,Purple sea urchin,13,0
14,AEA,3,3.1,Purple sea urchin,10,0
14,AEA,3,3.1,Purple sea urchin,8,0
14,AEA,3,3.1,Purple sea urchin,9,0
14,AEA,3,3.1,Purple sea urchin,14,0
14,AEA,3,3.1,Purple sea urchin,11,0
14,AEA,3,3.1,Red sea urchin,13,0
14,AEA,3,3.1,Red sea urchin,14,0
14,AEA,3,3.1,Red sea urchin,12,0
14,AEA,3,3.1,Red sea urchin,16,0
14,AEA,3,3.1,Red sea urchin,8,0
14,AEA,3,3.1,Red sea urchin,12,0
14,AEA,3,3.1,Red sea urchin,14,0
14,AEA,3,3.1,Red sea urchin,14,0
14,AEA,5,3.4,Purple sea urchin,12,0
