survey_id,site,region,region_nation,date,depth_band,diver_1,diver_2,visibility_m,bearing,notes
1,False Narrows,Nanaimo,Snuneymuxw,2024-07-20,deep,AEA,CMA,2.5,240,"The ""deep"" edge of the kelp bed was still fairly shallow."
2,False Narrows,Nanaimo,Snuneymuxw,2024-07-21,shallow,AEA,CMA,2,330,
3,Stryker,Bella Bella,Heiltsuk,2024-07-26,deep,AEA,CMA,4,35,
4,Stryker,Bella Bella,Heiltsuk,2024-07-26,shallow,AEA,CMA,3,35,
5,Simmonds,Bella Bella,Heiltsuk,2024-07-28,deep,AEA,CMA,2,10,
6,Simmonds,Bella Bella,Heiltsuk,2024-07-28,shallow,AEA,CMA,2,10,
7,McMullin,Bella Bella,Heiltsuk,2024-08-01,deep,AEA,CMA,2.5,120,
8,McMullin,Bella Bella,Heiltsuk,2024-08-01,shallow,AEA,CMA,2.5,120,
9,Cumshewa,Haida Gwaii,Haida,2024-08-07,deep,AEA,CMA,4,300,
10,Cumshewa,Haida Gwaii,Haida,2024-08-09,shallow,AEA,CMA,4.5,300,"The ""shallow"" edge of the kelp bed was still fairly deep."
11,Skidegate,Haida Gwaii,Haida,2024-08-10,deep,AEA,CMA,1.5,30,
12,Skidegate,Haida Gwaii,Haida,2024-08-12,shallow,AEA,CMA,1,10,
13,Masset,Haida Gwaii,Haida,2024-08-14,deep,AEA,CMA,4,35,
14,Masset,Haida Gwaii,Haida,2024-08-14,shallow,AEA,CMA,2.5,210,
15,Owen Bay,Quadra,Nanwakolas,2024-08-19,deep,AEA,CMA,5,20,
16,Octopus,Quadra,Nanwakolas,2024-08-19,shallow,AEA,CMA,4,340,
17,Octopus,Quadra,Nanwakolas,2024-08-20,deep,AEA,CMA,3.5,340,
18,Owen Bay,Quadra,Nanwakolas,2024-08-20,shallow,AEA,CMA,5,210,
19,Kanish,Quadra,Nanwakolas,2024-08-20,deep,AEA,CMA,,,
20,Kanish,Quadra,Nanwakolas,2024-08-20,shallow,AEA,CMA,,,
21,Lizard,Broughton Archipelago,,2024-08-25,deep,AEA,CMA,2.5,250,
22,Lizard,Broughton Archipelago,,2024-08-25,shallow,AEA,CMA,2,240,
23,Nimpkish,Broughton Archipelago,,2024-08-26,deep,AEA,CMA,5.5,277,
24,Nimpkish,Broughton Archipelago,,2024-08-26,shallow,AEA,CMA,5,277,
25,Haddington,Broughton Archipelago,,2024-08-27,deep,AEA,CMA,5,270,
26,Haddington,Broughton Archipelago,,2024-08-27,shallow,AEA,CMA,4,290,
27,Siaosun,Sooke,T'Sou-ke,2024-08-31,deep,AEA,CMA,5,115,
28,Muir Creek,Sooke,T'Sou-ke,2024-09-01,deep,AEA,CMA,3,250,
29,Muir Creek,Sooke,T'Sou-ke,2024-09-01,shallow,AEA,CMA,2,240,
30,Siaosun,Sooke,T'Sou-ke,2024-09-02,shallow,CMA,AVH,2,NA,
