survey_id,observer,quadrat,quadrat_depth_m,mud_silt,sand,pebble,cobble,boulder,rockface,turf,eelgrass
1,AEA,1,4.8,0,30,20,30,20,0,0,0
1,AEA,2,4.4,0,40,20,0,40,0,0,0
1,AEA,3,4.4,0,60,30,0,10,0,0,0
1,AEA,4,4.4,0,80,0,10,10,0,0,0
1,AEA,5,4.1,0,60,0,30,10,0,0,0
1,CMA,1,4.6,0,90,0,5,5,0,0,0
1,CMA,2,4.4,0,80,0,0,20,0,0,0
1,CMA,3,4.4,0,80,5,5,10,0,0,0
1,CMA,4,4.1,0,40,0,10,50,0,0,0
1,CMA,5,4.1,0,70,0,0,20,0,0,0
2,AEA,1,2.3,0,50,20,20,0,0,0,0
2,AEA,2,2.1,0,50,10,0,40,0,0,0
2,AEA,3,1.9,0,80,0,20,0,0,0,0
2,AEA,4,1.9,0,30,0,0,70,0,0,0
2,AEA,5,1.9,0,70,0,20,10,0,0,0
2,CMA,1,2,0,60,0,0,30,0,10,0
2,CMA,2,1.9,0,50,0,0,40,0,10,0
2,CMA,3,1.7,0,75,0,0,20,0,5,0
2,CMA,4,1.7,0,20,0,0,80,0,0,0
2,CMA,5,1.6,0,90,0,10,0,0,0,0
3,AEA,1,8.6,0,0,0,70,20,0,0,0
3,AEA,2,8.2,0,20,0,80,0,0,0,0
3,AEA,3,7.5,0,10,0,20,0,70,0,0
3,AEA,4,7,0,10,10,30,50,0,0,0
3,AEA,5,6.4,0,10,0,10,60,20,0,0
3,CMA,1,7.6,0,10,10,30,50,0,0,0
3,CMA,2,7.6,0,0,0,30,40,30,0,0
3,CMA,3,7.2,0,20,0,40,30,0,10,0
3,CMA,4,6.8,0,30,0,30,10,0,0,0
3,CMA,5,7,0,0,0,0,0,100,0,0
4,AEA,1,4.1,0,10,0,0,90,0,0,0
4,AEA,2,3.7,0,10,0,0,80,10,0,0
4,AEA,3,3.6,0,20,0,0,50,30,0,0
4,AEA,4,3.7,0,10,0,0,90,0,0,0
4,AEA,5,3.4,0,0,0,0,20,80,0,0
4,CMA,1,3.6,0,10,0,30,60,0,0,0
4,CMA,2,3.5,0,0,0,0,10,90,0,0
4,CMA,3,3.7,0,0,0,0,20,80,0,0
4,CMA,4,3.7,0,0,0,0,30,70,0,0
4,CMA,5,3.5,0,10,0,60,30,0,0,0
5,AEA,1,8.7,0,30,0,20,50,0,0,0
5,AEA,2,8.9,0,0,0,0,0,100,0,0
5,AEA,3,8.8,0,10,10,0,80,0,0,0
5,AEA,4,6.6,0,0,0,0,10,90,0,0
5,AEA,5,6.9,0,0,0,0,0,100,0,0
5,CMA,1,8,0,30,0,0,20,50,0,0
5,CMA,2,7.3,0,0,0,0,0,100,0,0
5,CMA,3,7.4,0,30,0,10,0,60,0,0
5,CMA,4,7.2,0,10,0,10,20,60,0,0
5,CMA,5,7.4,0,0,0,0,0,100,0,0
6,AEA,1,3,0,0,0,0,10,90,0,0
6,AEA,2,2.9,0,0,0,0,0,100,0,0
6,AEA,3,2.5,0,0,0,0,0,100,0,0
6,AEA,4,3,0,0,0,0,10,90,0,0
6,AEA,5,3,0,0,0,0,0,100,0,0
6,CMA,1,3.8,0,0,0,0,40,60,0,0
6,CMA,2,3,0,10,0,0,0,90,0,0
6,CMA,3,3.4,0,0,0,0,0,100,0,0
6,CMA,4,3.4,0,0,0,0,80,20,0,0
6,CMA,5,3.7,0,20,0,0,80,0,0,0
7,AEA,1,8.2,0,20,0,40,40,0,0,0
7,AEA,2,8.4,0,10,0,20,70,0,0,0
7,AEA,3,8.4,0,40,0,0,60,0,0,0
7,AEA,4,8.5,0,30,0,0,70,0,0,0
7,AEA,5,8.5,0,30,0,30,40,0,0,0
7,CMA,1,7.9,0,60,10,10,20,0,0,0
7,CMA,2,8,0,30,10,20,40,0,0,0
7,CMA,3,8.2,0,20,0,20,60,0,0,0
7,CMA,4,8.2,0,25,0,15,60,0,0,0
7,CMA,5,8.3,0,30,10,30,30,0,0,0
8,AEA,1,4.9,0,0,0,60,40,0,0,0
8,AEA,2,5.8,0,0,30,10,60,0,0,0
8,AEA,3,5.1,0,0,10,40,50,0,0,0
8,AEA,4,4.7,0,0,0,30,70,0,0,0
8,AEA,5,4.5,0,5,25,10,60,0,0,0
8,CMA,1,4.8,0,5,30,40,25,0,0,0
8,CMA,2,4.8,0,10,0,20,70,0,0,0
8,CMA,3,4.5,0,10,10,0,0,80,0,0
8,CMA,4,4.4,0,10,0,0,0,90,0,0
8,CMA,5,4.2,0,0,0,10,10,80,0,0
9,AEA,1,7.1,0,0,30,70,0,0,0,0
9,AEA,2,7.2,0,0,50,30,20,0,0,0
9,AEA,3,7.3,0,0,10,60,30,0,0,0
9,AEA,4,7.5,0,0,40,20,40,0,0,0
